rushId,playId,teamId,playerId,rushPosition,rushType,rushDirection,rushLandmark,rushYards,rushPrimary,rushTd,rushEnd,rushNull
15184506,15088563,2310,20130063,TE,rush,right,tackle,2,1,0.0,in bounds,0
15184496,15088531,4500,20140062,QB,kneel,,,-1,1,0.0,in bounds,0
15184510,15088575,4500,20140062,QB,qb scramble,right,end,3,1,0.0,ran out of bounds,0
15184471,15088462,2310,20140629,RB,rush,right,end,7,1,0.0,in bounds,0
15184477,15088479,2310,20140629,RB,rush,left,guard,2,1,0.0,in bounds,0
15184478,15088482,2310,20140629,RB,rush,left,guard,5,1,0.0,in bounds,0
15184479,15088484,2310,20140629,RB,rush,right,guard,14,1,0.0,in bounds,0
15184481,15088490,2310,20140629,RB,rush,middle,center,4,1,0.0,in bounds,0
15184484,15088502,2310,20140629,RB,rush,middle,center,3,1,0.0,in bounds,0
15184485,15088504,2310,20140629,RB,rush,right,end,3,1,0.0,pushed out of bounds,0
15184486,15088506,2310,20140629,RB,rush,right,tackle,3,1,0.0,in bounds,0
15184491,15088521,2310,20140629,RB,rush,left,guard,4,1,0.0,in bounds,0
15184492,15088523,2310,20140629,RB,rush,middle,center,2,1,0.0,in bounds,0
15184500,15088545,2310,20140629,RB,rush,right,tackle,0,1,0.0,in bounds,0
15184501,15088547,2310,20140629,RB,rush,middle,center,5,1,0.0,in bounds,0
15184504,15088559,2310,20140629,RB,rush,middle,center,5,1,0.0,in bounds,0
15184511,15088577,2310,20140629,RB,rush,right,end,3,1,0.0,in bounds,0
15184513,15088580,2310,20140629,RB,rush,middle,center,2,1,0.0,in bounds,0
15184517,15088612,2310,20140629,RB,rush,middle,center,4,1,0.0,in bounds,0
15184518,15088613,2310,20140629,RB,rush,left,end,38,1,1.0,in bounds,0
15184472,15088466,4500,20150073,RB,rush,right,end,-1,1,0.0,in bounds,0
15184474,15088469,4500,20150073,RB,rush,left,end,7,1,0.0,in bounds,0
15184475,15088470,4500,20150073,RB,rush,left,guard,1,1,0.0,in bounds,0
15184490,15088514,4500,20150073,RB,rush,left,tackle,17,1,0.0,in bounds,0
15184498,15088536,4500,20150073,RB,rush,left,end,4,1,0.0,ran out of bounds,0
15184487,15088510,4500,20150905,RB,rush,right,tackle,1,1,0.0,in bounds,0
15184488,15088511,4500,20150905,RB,rush,left,end,9,1,0.0,ran out of bounds,0
15184489,15088513,4500,20150905,RB,rush,right,tackle,11,1,0.0,in bounds,0
15184494,15088527,4500,20150905,RB,rush,left,tackle,3,1,0.0,in bounds,0
15184495,15088528,4500,20150905,RB,rush,left,guard,2,1,0.0,in bounds,0
15184499,15088539,4500,20150905,RB,rush,left,end,0,1,0.0,in bounds,0
15184502,15088551,4500,20150905,RB,rush,right,guard,2,1,0.0,in bounds,0
15184503,15088555,4500,20150905,RB,rush,right,guard,1,1,1.0,in bounds,0
15184508,15088570,4500,20150905,RB,rush,right,tackle,6,1,0.0,in bounds,0
15184509,15088572,4500,20150905,RB,rush,left,guard,1,1,0.0,in bounds,0
15184514,15088591,4500,20150905,RB,rush,left,tackle,5,1,0.0,in bounds,0
15184516,15088604,4500,20150905,RB,rush,right,tackle,17,1,0.0,in bounds,0
15184480,15088489,2310,20170010,QB,qb scramble,right,end,10,1,0.0,in bounds,0
15184483,15088492,2310,20170010,QB,rush,right,end,1,1,1.0,in bounds,0
15184505,15088560,2310,20170010,QB,qb scramble,right,end,5,1,0.0,pushed out of bounds,0
15184507,15088568,2310,20170010,QB,qb scramble,middle,center,13,1,0.0,in bounds,0
15184512,15088578,2310,20170010,QB,qb scramble,left,end,9,1,0.0,pushed out of bounds,0
15184515,15088599,2310,20170010,QB,rush,left,end,6,1,0.0,pushed out of bounds,0
15184519,15088618,2310,20170010,QB,kneel,,,-5,1,0.0,in bounds,0
15184520,15088619,2310,20170010,QB,kneel,,,-3,1,0.0,in bounds,0
15184521,15088620,2310,20170010,QB,kneel,,,-7,1,0.0,in bounds,0
15184473,15088468,4500,20190036,WR,rush,right,end,32,1,0.0,ran out of bounds,0
15184476,15088471,4500,20190036,WR,qb scramble,left,guard,7,1,0.0,in bounds,0
15184497,15088535,4500,20190036,WR,rush,left,end,14,1,0.0,ran out of bounds,0
15184493,15088524,2310,20190056,WR,rush,right,end,-6,1,0.0,pushed out of bounds,0
15184482,15088491,2310,20190214,RB,rush,left,guard,0,1,0.0,in bounds,0
15184379,15088163,1800,20050024,QB,aborted,,,0,1,0.0,in bounds,0
