playerId,draft,round,pick,draftTradeValue,draftTeam,position,teamId,nameFirst,nameLast,nameFull,collegeId,nflId,combineId,college,heightInches,weight,dob,ageAtDraft,playerProfileUrl,homeCity,homeState,homeCountry,highSchool,hsCity,hsState,hsCountry
19770001,1977,1.0,1,3000.0,TB,RB,4900,Ricky,Bell,Ricky Bell,90089,2509366,,USC,74.0,220.0,1955-04-08,22.084931506849315,http://www.nfl.com/player/RickyBell/2509366/profile,Houston,TX,USA,,,,
19770002,1977,1.0,2,2600.0,DAL,RB,1200,Tony,Dorsett,Tony Dorsett,15260,2513084,,Pittsburgh,71.0,192.0,1954-04-07,23.087671232876712,http://www.nfl.com/player/TonyDorsett/2513084/profile,Rochester,PA,USA,,,,
19770003,1977,1.0,3,2200.0,CIN,DE,920,Eddie,Edwards,Eddie Edwards,33124,2513479,,Miami (FL),77.0,256.0,1954-04-25,23.03835616438356,http://www.nfl.com/player/EddieEdwards/2513479/profile,Sumter,SC,USA,,,,
19770004,1977,1.0,4,1800.0,NYJ,OT,3430,Marvin,Powell,Marvin Powell,90089,2523462,,USC,77.0,268.0,1955-08-30,21.69041095890411,http://www.nfl.com/player/MarvinPowell/2523462/profile,Los Angeles,CA,USA,,,,
19770005,1977,1.0,5,1700.0,NYG,DE,3410,Gary,Jeter,Gary Jeter,90089,2517530,,USC,76.0,259.0,1955-01-24,22.28767123287671,http://www.nfl.com/player/GaryJeter/2517530/profile,Weirton,WV,USA,,,,
19770006,1977,1.0,6,1600.0,ATL,OT,200,Warren,Bryant,Warren Bryant,40506,2510562,,Kentucky,78.0,273.0,1955-11-11,21.49041095890411,http://www.nfl.com/player/WarrenBryant/2510562/profile,Miami,FL,USA,,,,
19770007,1977,1.0,7,1500.0,NO,DE,3300,Joe,Campbell,Joe Campbell,20740,2510983,,Maryland,78.0,254.0,1955-05-08,22.002739726027396,http://www.nfl.com/player/JoeCampbell/2510983/profile,Wilmington,DE,USA,,,,
19770008,1977,1.0,8,1400.0,CIN,DT,920,Wilson,Whitley,Wilson Whitley,77006,2528733,,Houston,75.0,265.0,1955-04-28,22.03013698630137,http://www.nfl.com/player/WilsonWhitley/2528733/profile,Brenham,TX,USA,,,,
19770009,1977,1.0,9,1350.0,GB,DE,1800,Mike,Butler,Mike Butler,66045,2510834,,Kansas,77.0,265.0,1954-04-04,23.095890410958905,http://www.nfl.com/player/MikeButler/2510834/profile,Washington,DC,USA,,,,
19770010,1977,1.0,10,1300.0,KC,DB,2310,Gary,Green,Gary Green,76706,2515266,,Baylor,71.0,187.0,1955-10-22,21.545205479452054,http://www.nfl.com/player/GaryGreen/2515266/profile,San Antonio,TX,USA,,,,
19770011,1977,1.0,11,1250.0,HO,OT,2100,Morris,Towns,Morris Towns,65211,2527565,,Missouri,76.0,270.0,1954-01-10,23.326027397260273,http://www.nfl.com/player/MorrisTowns/2527565/profile,St. Louis,MO,USA,,,,
19770012,1977,1.0,12,1200.0,BUF,DT,610,Phil,Dokes,Phil Dokes,74078,2513020,,Oklahoma State,76.0,258.0,1955-09-07,21.66849315068493,http://www.nfl.com/player/PhilDokes/2513020/profile,North Little Rock,AR,USA,,,,
19770013,1977,1.0,13,1150.0,MIA,LB,2700,A.J.,Duhe,A.J. Duhe,70803,2513273,,Louisiana State,76.0,247.0,1955-11-27,21.446575342465753,http://www.nfl.com/player/A.J.Duhe/2513273/profile,New Orleans,LA,USA,,,,
