passDefId,playId,teamId,playerId,passDefPosition,passDefNull
520001,10,3800,20010064,S,0
520002,14,3800,20010064,S,0
520003,18,3200,20030036,DB,0
520004,36,3200,20030036,DB,0
520005,46,3200,19950023,CB,0
520006,60,3800,20000091,CB,0
520007,70,3800,20010493,LB,0
520008,84,3800,19970057,LB,0
520009,87,3800,19980010,CB,0
520010,108,3200,19940145,S,0
520011,130,3200,20030036,DB,0
520012,140,3200,19940004,LB,0
520013,141,3200,20030120,CB,0
520014,150,3200,19970091,LB,0
520015,156,3200,19940004,LB,0
520016,157,3200,19950022,CB,0
520017,184,3300,20020025,DE,0
520018,240,3800,19970057,LB,0
520019,284,3300,19970092,LB,0
520020,292,3800,20000091,CB,0
520021,321,3800,19990048,DT,0
520022,417,3410,20010022,CB,0
520023,448,3800,19990048,DT,0
520024,449,3800,20010482,S,0
520025,451,3410,20010022,CB,0
520026,457,3800,20040064,DT,0
520027,478,3800,20010064,S,0
520028,479,3800,20010482,S,0
520029,480,3800,20040033,OLB,0
520030,484,3800,19970086,DE,0
520031,526,3800,20010482,S,0
520032,543,3800,19980010,CB,0
520033,602,3430,20040012,LB,0
520034,631,3430,19920005,CB,0
520035,632,3430,20000102,CB,0
520036,637,3430,19920005,CB,0
520037,652,2520,19970020,LB,0
520038,653,2520,20020017,CB,0
520039,664,3800,19960446,LB,0
520040,797,3800,20010064,S,0
520041,805,3800,20010064,S,0
520042,816,4400,19950105,FS,0
520043,834,3800,20000091,CB,0
520044,838,3800,20000091,CB,0
520045,864,3800,20010202,CB,0
520046,875,3800,19970183,CB,0
520047,915,3800,20010482,S,0
520048,942,3800,20010202,CB,0
520049,954,3800,20010064,S,0
520050,970,3800,20010064,S,0
520051,1002,3800,20030018,DE,0
520052,1016,4600,20010040,CB,0
520053,1025,3800,20040033,OLB,0
520054,1061,4600,20010040,CB,0
520055,1070,4600,20020146,DT,0
520056,1074,3800,20010202,CB,0
520057,1093,3800,19980010,CB,0
520058,1099,3800,19980010,CB,0
520059,1100,3800,20000041,LB,0
520060,1102,3800,20000091,CB,0
520061,1108,4500,20030663,CB,0
520062,1119,3800,20000091,CB,0
520063,1127,4500,20020653,S,0
520064,1152,4500,19980035,S,0
520065,1200,4500,20030518,DT,0
520066,1236,3800,20040033,OLB,0
520067,1271,4500,20030663,CB,0
520068,1284,3800,19970057,LB,0
520069,1286,4500,20020653,S,0
520070,1303,2510,19990025,CB,0
520071,1312,2510,20020064,CB,0
520072,1323,3800,20000091,CB,0
520073,1352,3800,20010202,CB,0
520074,1370,3800,19970183,CB,0
520075,1391,3800,20010482,S,0
520076,1415,3800,20000091,CB,0
520077,1427,2510,20010020,S,0
520078,1452,3800,19980010,CB,0
520079,1474,4900,19980045,CB,0
520080,1488,3800,19980010,CB,0
520081,1501,4900,19980045,CB,0
520082,1522,3800,19970086,DE,0
520083,1530,4900,19940405,LB,0
520084,1533,4900,19960003,DE,0
520085,1534,4900,20010084,S,0
520086,1538,3800,20040064,DT,0
520087,1542,4900,20010084,S,0
520088,1543,4900,20010084,S,0
520089,1560,3800,19980010,CB,0
520090,1568,4900,19970066,CB,0
520091,1569,4900,19980045,CB,0
