penaltyId,playId,teamId,playerId,penaltyPosition,penaltyDescrip,penaltyYds,penaltyResult
700001.0,22.0,3800.0,19970057.0,LB,Roughing the Passer,15.0,enforced
700002.0,29.0,3800.0,20040033.0,OLB,Defensive Holding,3.0,enforced
700003.0,35.0,3200.0,19950022.0,CB,Defensive Offside,5.0,enforced
700004.0,40.0,3200.0,20000046.0,OT,Illegal Use of Hands,10.0,enforced
700005.0,52.0,3800.0,19970086.0,DE,Neutral Zone Infraction,5.0,enforced
700006.0,58.0,3200.0,19960086.0,LB,Offensive Holding,10.0,enforced
700007.0,73.0,3200.0,20000046.0,OT,False Start,5.0,enforced
700008.0,79.0,3200.0,19940145.0,S,Personal Foul,15.0,enforced
700009.0,81.0,3200.0,20010006.0,DL,Defensive Offside,5.0,enforced
700010.0,96.0,3200.0,19950039.0,TE,Illegal Motion,5.0,enforced
700011.0,104.0,3800.0,20010002.0,OG,Offensive Holding,10.0,enforced
700012.0,106.0,3800.0,19970045.0,TE,Illegal Motion,5.0,enforced
700013.0,109.0,3800.0,20010002.0,OG,False Start,5.0,enforced
700014.0,113.0,3200.0,19950023.0,CB,Defensive Pass Interference,4.0,enforced
700015.0,129.0,3200.0,19910031.0,LB,Illegal Contact,5.0,enforced
700016.0,137.0,3200.0,20000199.0,QB,Delay of Game,5.0,enforced
700017.0,152.0,3200.0,19970091.0,LB,Defensive Offside,5.0,enforced
700018.0,153.0,3200.0,19950023.0,CB,Illegal Contact,5.0,enforced
700019.0,179.0,3300.0,20020013.0,WR,False Start,5.0,enforced
700020.0,188.0,3800.0,20010064.0,S,Taunting,15.0,enforced
700021.0,195.0,3800.0,20010064.0,S,Defensive Pass Interference,15.0,enforced
700022.0,198.0,3300.0,20030102.0,OG,Offensive Holding,10.0,enforced
700024.0,203.0,3800.0,19970045.0,TE,Offensive Holding,10.0,enforced
700025.0,210.0,3300.0,19940015.0,OT,False Start,5.0,enforced
700026.0,221.0,3300.0,19980022.0,FS,Defensive Pass Interference,36.0,enforced
700027.0,235.0,3300.0,19980027.0,OT,False Start,5.0,enforced
700028.0,238.0,3300.0,19980027.0,OT,False Start,5.0,enforced
700029.0,243.0,3800.0,20010482.0,S,Offensive Holding,10.0,enforced
700030.0,275.0,3300.0,20000540.0,WR,Illegal Crackback,10.0,enforced
700031.0,282.0,3300.0,20020150.0,S,Defensive Offside,5.0,enforced
700032.0,290.0,3300.0,20010182.0,LB,Offensive Holding,9.0,enforced
700033.0,291.0,3300.0,20030102.0,OG,Offensive Holding,4.0,enforced
700034.0,304.0,3300.0,19940015.0,OT,False Start,5.0,enforced
700035.0,313.0,3800.0,20030185.0,OT,False Start,5.0,enforced
700036.0,314.0,3800.0,20020081.0,QB,Delay of Game,5.0,enforced
700037.0,323.0,3800.0,19970086.0,DE,Defensive Offside,5.0,enforced
700038.0,348.0,3410.0,19960242.0,LB,Roughing the Passer,15.0,enforced
700039.0,350.0,3410.0,20030056.0,DE,Defensive Offside,5.0,enforced
700040.0,390.0,3800.0,20040100.0,OC,False Start,5.0,enforced
700041.0,392.0,3410.0,19940424.0,S,Defensive Holding,5.0,enforced
700042.0,396.0,3410.0,20010078.0,CB,Defensive Pass Interference,22.0,enforced
700043.0,399.0,3410.0,20010164.0,OT,Unnecessary Roughness,10.0,enforced
700044.0,406.0,3410.0,20000488.0,OC,Offensive Holding,10.0,enforced
700045.0,414.0,3800.0,20020081.0,QB,Delay of Game,5.0,enforced
700046.0,425.0,3410.0,20010078.0,CB,Illegal Use of Hands,5.0,enforced
700047.0,429.0,3800.0,20040003.0,WR,Illegal Shift,5.0,enforced
700048.0,437.0,3410.0,20020014.0,TE,Offensive Holding,10.0,enforced
700049.0,454.0,3410.0,20040720.0,CB,Illegal Block Above the Waist,10.0,enforced
700050.0,455.0,3410.0,20020014.0,TE,Illegal Motion,5.0,enforced
700051.0,486.0,3430.0,20020582.0,OG,Illegal Use of Hands,10.0,enforced
700052.0,488.0,3800.0,19970057.0,LB,Unnecessary Roughness,15.0,enforced
700053.0,492.0,3800.0,20030054.0,WR,False Start,5.0,enforced
700054.0,501.0,3800.0,20030177.0,OT,False Start,5.0,enforced
700055.0,518.0,3800.0,19990021.0,OT,Personal Foul,16.0,enforced
700056.0,550.0,3430.0,19990146.0,LB,Roughing the Passer,15.0,enforced
700057.0,553.0,3430.0,20000012.0,DE,Defensive Offside,5.0,enforced
700058.0,582.0,3430.0,20000012.0,DE,Roughing the Passer,15.0,enforced
700059.0,585.0,3800.0,19990145.0,OG,False Start,5.0,enforced
700060.0,591.0,3430.0,19920005.0,CB,Face Mask (15 Yards),15.0,enforced
700061.0,597.0,3430.0,20000013.0,DE,Defensive Offside,5.0,enforced
700062.0,603.0,3430.0,20020582.0,OG,Offensive Holding,5.0,enforced
700063.0,605.0,3800.0,19970057.0,LB,Illegal Contact,5.0,enforced
700064.0,621.0,3430.0,20000027.0,TE,Offensive Holding,10.0,enforced
700065.0,625.0,3430.0,19970229.0,DT,Encroachment,5.0,enforced
700066.0,643.0,3800.0,19970045.0,TE,Offensive Holding,10.0,enforced
700067.0,645.0,2520.0,20010028.0,S,Face Mask (15 Yards),15.0,enforced
700068.0,658.0,2520.0,19930096.0,OG,False Start,5.0,enforced
700069.0,679.0,3800.0,20010034.0,DE,Defensive Offside,5.0,enforced
700070.0,687.0,2520.0,20030031.0,CB,Defensive Holding,5.0,enforced
700071.0,690.0,3800.0,20020081.0,QB,Delay of Game,5.0,enforced
700072.0,693.0,2520.0,19930065.0,CB,Defensive Holding,5.0,enforced
700073.0,704.0,2520.0,19980098.0,TE,Offensive Holding,9.0,enforced
700074.0,720.0,2520.0,20030167.0,WR,False Start,5.0,enforced
700075.0,754.0,2520.0,20000543.0,OC,Personal Foul,6.0,enforced
700076.0,757.0,3800.0,19970057.0,LB,Offensive Holding,10.0,enforced
700077.0,761.0,3800.0,20020618.0,OC,Offensive Holding,10.0,enforced
700078.0,765.0,2520.0,20030031.0,CB,Illegal Contact,5.0,enforced
700080.0,790.0,4400.0,20030030.0,CB,Defensive Holding,5.0,enforced
700081.0,810.0,4400.0,20020005.0,CB,Defensive Pass Interference,14.0,enforced
700082.0,815.0,3800.0,20010002.0,OG,False Start,5.0,enforced
700083.0,833.0,3800.0,20040033.0,LB,Defensive Offside,5.0,enforced
700084.0,835.0,3800.0,19960446.0,LB,Personal Foul,15.0,enforced
700086.0,846.0,4400.0,20030030.0,CB,Defensive Holding,5.0,enforced
700087.0,880.0,3800.0,19930133.0,OG,Offensive Holding,7.0,enforced
700088.0,882.0,4400.0,20030565.0,OG,False Start,5.0,enforced
700089.0,894.0,4400.0,20040065.0,K,Unsportsmanlike Conduct,15.0,enforced
700090.0,904.0,4400.0,20010409.0,OC/OG,False Start,5.0,enforced
700091.0,909.0,3800.0,20020049.0,LB,Illegal Block Above the Waist,10.0,enforced
700092.0,913.0,4400.0,20040744.0,S,Defensive Pass Interference,36.0,enforced
700094.0,924.0,3800.0,20010054.0,CB,Tripping,10.0,enforced
700095.0,927.0,3800.0,20040537.0,TE,False Start,5.0,enforced
700096.0,938.0,3800.0,19960417.0,WR/KR,Illegal Block Above the Waist,10.0,enforced
700097.0,953.0,3800.0,20000091.0,CB,Defensive Holding,5.0,enforced
700098.0,989.0,4600.0,19930132.0,OG,Offensive Holding,10.0,enforced
700099.0,1007.0,3800.0,20020081.0,QB,Intentional Grounding,10.0,enforced
700100.0,1018.0,4600.0,20010009.0,WR,Illegal Touch Pass,5.0,enforced
700101.0,1039.0,3800.0,20020081.0,QB,Delay of Game,5.0,enforced
