officialPartId,officialId,officialName,officialPosition,gameId
28335.0,1556,Curtis Adams,Head Linesman,55775.0
28427.0,1556,Curtis Adams,Head Linesman,55784.0
28573.0,1556,Curtis Adams,Head Linesman,55801.0
28743.0,1002,Kevin Akin,Head Linesman,55506.0
28976.0,1002,Kevin Akin,Head Linesman,55535.0
28992.0,1002,Kevin Akin,Head Linesman,55542.0
28215.0,1002,Kevin Akin,Head Linesman,55760.0
28295.0,1002,Kevin Akin,Head Linesman,55770.0
28359.0,1002,Kevin Akin,Head Linesman,55778.0
28550.0,1002,Kevin Akin,Head Linesman,55804.0
28686.0,1002,Kevin Akin,Head Linesman,55812.0
11914.0,1001,Bud Alexander,Video Operator,27144.0
12019.0,1001,Bud Alexander,Video Operator,27160.0
12223.0,1001,Bud Alexander,Video Operator,28532.0
12431.0,1001,Bud Alexander,Video Operator,28551.0
12477.0,1001,Bud Alexander,Video Operator,28558.0
12697.0,1001,Bud Alexander,Video Operator,28584.0
13020.0,1001,Bud Alexander,Video Operator,28619.0
13189.0,1001,Bud Alexander,Video Operator,28642.0
13482.0,1001,Bud Alexander,Video Operator,28679.0
13600.0,1001,Bud Alexander,Video Operator,28687.0
13964.0,1001,Bud Alexander,Video Operator,28731.0
14144.0,1001,Bud Alexander,Video Operator,28753.0
14407.0,1001,Bud Alexander,Video Operator,28771.0
14651.0,1001,Bud Alexander,Video Operator,28876.0
14853.0,1001,Bud Alexander,Video Operator,28902.0
14986.0,1001,Bud Alexander,Replay Assistant,28908.0
15412.0,1001,Bud Alexander,Video Operator,28963.0
15578.0,1001,Bud Alexander,Video Operator,28980.0
15857.0,1001,Bud Alexander,Video Operator,29008.0
16331.0,1001,Bud Alexander,Video Operator,29078.0
16624.0,1001,Bud Alexander,Video Operator,29104.0
16875.0,1001,Bud Alexander,Video Operator,29198.0
17269.0,1001,Bud Alexander,Video Operator,29251.0
17417.0,1001,Bud Alexander,Video Operator,29266.0
17799.0,1001,Bud Alexander,Video Operator,29303.0
18184.0,1001,Bud Alexander,Video Operator,29345.0
18232.0,1001,Bud Alexander,Video Operator,29357.0
18730.0,1001,Bud Alexander,Video Operator,29416.0
18783.0,1001,Bud Alexander,Video Operator,29420.0
18916.0,1001,Bud Alexander,Video Operator,29435.0
19090.0,1001,Bud Alexander,Video Operator,29520.0
19587.0,1001,Bud Alexander,Replay Assistant,29579.0
20652.0,1001,Bud Alexander,Replay Assistant,29715.0
21087.0,1001,Bud Alexander,Replay Assistant,29781.0
25512.0,1001,Bud Alexander,Replay Assistant,55153.0
26746.0,1001,Bud Alexander,Replay Assistant,55241.0
31279.0,1001,Bud Alexander,Replay Official,56143.0
31094.0,1003,Brad Allen,Back Judge,56122.0
34126.0,1003,Brad Allen,Referee,56173.0
34278.0,1003,Brad Allen,Referee,56199.0
34306.0,1003,Brad Allen,Referee,56204.0
34521.0,1003,Brad Allen,Referee,56231.0
34680.0,1003,Brad Allen,Referee,56253.0
34769.0,1003,Brad Allen,Referee,56269.0
34974.0,1003,Brad Allen,Referee,56282.0
35009.0,1003,Brad Allen,Referee,56297.0
35123.0,1003,Brad Allen,Referee,56306.0
35320.0,1003,Brad Allen,Referee,56330.0
35339.0,1003,Brad Allen,Referee,56332.0
35508.0,1003,Brad Allen,Referee,56354.0
35596.0,1003,Brad Allen,Referee,56371.0
35882.0,1003,Brad Allen,Referee,56402.0
36020.0,1003,Brad Allen,Referee,56420.0
33622.0,1003,Brad Allen,Referee,56440.0
33733.0,1003,Brad Allen,Referee,56453.0
33852.0,1003,Brad Allen,Referee,56469.0
33941.0,1003,Brad Allen,Referee,56474.0
36778.0,1003,Brad Allen,Referee,56514.0
36925.0,1003,Brad Allen,Referee,56527.0
37164.0,1003,Brad Allen,Referee,56564.0
37278.0,1003,Brad Allen,Referee,56570.0
37319.0,1003,Brad Allen,Referee,56584.0
37502.0,1003,Brad Allen,Referee,56602.0
37656.0,1003,Brad Allen,Referee,56632.0
37747.0,1003,Brad Allen,Referee,56635.0
37886.0,1003,Brad Allen,Referee,56658.0
38093.0,1003,Brad Allen,Referee,56678.0
38148.0,1003,Brad Allen,Referee,56685.0
38323.0,1003,Brad Allen,Referee,56708.0
38464.0,1003,Brad Allen,Referee,56716.0
38531.0,1003,Brad Allen,Referee,56738.0
38724.0,1003,Brad Allen,Referee,56756.0
36217.0,1003,Brad Allen,Referee,56762.0
36587.0,1003,Brad Allen,Referee,56820.0
38834.0,1003,Brad Allen,Referee,56844.0
39000.0,1003,Brad Allen,Referee,56857.0
39124.0,1003,Brad Allen,Referee,56884.0
39245.0,1003,Brad Allen,Referee,56889.0
39416.0,1003,Brad Allen,Referee,56903.0
39488.0,1003,Brad Allen,Referee,56920.0
39662.0,1003,Brad Allen,Referee,56946.0
39840.0,1003,Brad Allen,Referee,56963.0
40011.0,1003,Brad Allen,Referee,56989.0
40152.0,1003,Brad Allen,Referee,56999.0
40204.0,1003,Brad Allen,Referee,57013.0
40382.0,1003,Brad Allen,Referee,57031.0
40483.0,1003,Brad Allen,Referee,57044.0
40521.0,1003,Brad Allen,Referee,57050.0
40703.0,1003,Brad Allen,Referee,57076.0
40980.0,1003,Brad Allen,Referee,57098.0
41002.0,1003,Brad Allen,Referee,57109.0
41231.0,1003,Brad Allen,Referee,57128.0
41310.0,1003,Brad Allen,Referee,57153.0
41392.0,1003,Brad Allen,Referee,57158.0
41496.0,1003,Brad Allen,Referee,57171.0
41827.0,1003,Brad Allen,Referee,57213.0
41972.0,1003,Brad Allen,Referee,57219.0
42086.0,1003,Brad Allen,Referee,57243.0
42190.0,1003,Brad Allen,Referee,57261.0
42402.0,1003,Brad Allen,Referee,57296.0
42554.0,1003,Brad Allen,Referee,57308.0
42691.0,1003,Brad Allen,Referee,57315.0
42722.0,1003,Brad Allen,Referee,57332.0
42948.0,1003,Brad Allen,Referee,57357.0
43077.0,1003,Brad Allen,Referee,57373.0
43238.0,1003,Brad Allen,Referee,57388.0
43385.0,1003,Brad Allen,Referee,57409.0
43473.0,1003,Brad Allen,Referee,57411.0
43637.0,1003,Brad Allen,Referee,57427.0
43675.0,1003,Brad Allen,Referee,57451.0
43798.0,1003,Brad Allen,Referee,57463.0
43976.0,1003,Brad Allen,Referee,57480.0
44091.0,1003,Brad Allen,Referee,57496.0
44215.0,1003,Brad Allen,Referee,57512.0
44409.0,1003,Brad Allen,Referee,57542.0
44614.0,1003,Brad Allen,Referee,57558.0
44674.0,1003,Brad Allen,Referee,57579.0
44798.0,1003,Brad Allen,Referee,57588.0
45031.0,1003,Brad Allen,Referee,57615.0
45180.0,1003,Brad Allen,Referee,57636.0
45358.0,1003,Brad Allen,Referee,57648.0
45451.0,1003,Brad Allen,Referee,57664.0
45517.0,1003,Brad Allen,Referee,57684.0
45704.0,1003,Brad Allen,Referee,57699.0
45745.0,1003,Brad Allen,Referee,57709.0
45929.0,1003,Brad Allen,Referee,57728.0
46144.0,1003,Brad Allen,Referee,57744.0
46304.0,1003,Brad Allen,Referee,57774.0
46326.0,1003,Brad Allen,Referee,57776.0
46506.0,1003,Brad Allen,Referee,57791.0
46584.0,1003,Brad Allen,Referee,57817.0
46872.0,1003,Brad Allen,Referee,57851.0
46965.0,1003,Brad Allen,Referee,57862.0
47094.0,1003,Brad Allen,Referee,57882.0
47175.0,1003,Brad Allen,Referee,57885.0
47278.0,1003,Brad Allen,Referee,57888.0
47380.0,1003,Brad Allen,Referee,57902.0
47436.0,1003,Brad Allen,Referee,57930.0
47736.0,1003,Brad Allen,Referee,57959.0
47823.0,1003,Brad Allen,Referee,57967.0
47927.0,1003,Brad Allen,Referee,57978.0
48120.0,1003,Brad Allen,Referee,58003.0
48165.0,1003,Brad Allen,Referee,58012.0
48311.0,1003,Brad Allen,Referee,58028.0
48409.0,1003,Brad Allen,Referee,58040.0
48588.0,1003,Brad Allen,Referee,58061.0
48817.0,1003,Brad Allen,Referee,58079.0
48884.0,1003,Brad Allen,Referee,58105.0
48977.0,1003,Brad Allen,Referee,58118.0
49158.0,1003,Brad Allen,Referee,58132.0
49283.0,1003,Brad Allen,Referee,58147.0
46835.0,1584,Roddy Ames,Replay Official,57838.0
47031.0,1584,Roddy Ames,Replay Official,57865.0
47059.0,1584,Roddy Ames,Replay Official,57868.0
47393.0,1584,Roddy Ames,Replay Official,57904.0
47432.0,1584,Roddy Ames,Replay Official,57916.0
47573.0,1584,Roddy Ames,Replay Official,57938.0
